Customer Remarks,category,cleaned_remarks,category_encoded
Thankyou so much ,Order Related,thankyou so much,5
Nyc talkng,Returns,nyc talkng,10
Thanks ,Returns,thanks,10
"You have played around with this order. Without taking customers concern, how can you plan the resolution/pick-up of the products? Don't you have brain to check with the customers availability? Also, no courtesy to atleast reach customer and apologize for the mess created by Shopzilla due to systems failure. Order placed on 8 July and 19 July damaged product delivered. I'm still awaiting for the resolution and refund.",Returns,you have played around with this order without taking customers concern how can you plan the resolutionpickup of the products dont you have brain to check with the customers availability also no courtesy to atleast reach customer and apologize for the mess created by shopzilla due to systems failure order placed on 8 july and 19 july damaged product delivered im still awaiting for the resolution and refund,10
Excellent ,Returns,excellent,10
Very nice ,Order Related,very nice,5
Good ,Returns,good,10
Bot is very annoying,Returns,bot is very annoying,10
Ok,Order Related,ok,5
Have faith in coustomar ,Returns,have faith in coustomar,10
One side nit warning ,Order Related,one side nit warning,5
They put my call on hold but after sometime they disconnected without any information.,Refund Related,they put my call on hold but after sometime they disconnected without any information,9
Please solve the queries,Returns,please solve the queries,10
No,Returns,no,10
She is very good. If she need to switch the job ask her to contact me.,Order Related,she is very good if she need to switch the job ask her to contact me,5
Item are too delay of delivery date,Order Related,item are too delay of delivery date,5
10 days order not supply &no payment refund,Refund Related,10 days order not supply no payment refund,9
Best ,Product Queries,best,8
"Idiotic customer care executives, no solution from your end since April 28 th, call disconnected from the executive end",Order Related,idiotic customer care executives no solution from your end since april 28 th call disconnected from the executive end,5
My issue paylater bill not submited so i talk customer  suppprt nd my issue solve in just min thnx Shopzilla,Shopzilla Related,my issue paylater bill not submited so i talk customer suppprt nd my issue solve in just min thnx shopzilla,11
Problems and concern's Good Understanding and solved.,Product Queries,problems and concerns good understanding and solved,8
My problem is not yet solved ,Returns,my problem is not yet solved,10
"I ordered a sleeper which was delivered on 22nd july after that i didn't like its quality so i refunded the last date to pick up the product after refund was 25th july but my product didn't get picked up till 31st july.  And I was consoled to wait only 24 hours for 5 days after talking to the costumer care, even after that no one came for pickup, I felt very sad seeing the return policy of Shopzilla.  That's why I canceled myself last night, first time this happened to me ??",Returns,i ordered a sleeper which was delivered on 22nd july after that i didnt like its quality so i refunded the last date to pick up the product after refund was 25th july but my product didnt get picked up till 31st july and i was consoled to wait only 24 hours for 5 days after talking to the costumer care even after that no one came for pickup i felt very sad seeing the return policy of shopzilla thats why i canceled myself last night first time this happened to me,10
Awful customer support ever,Returns,awful customer support ever,10
Good job ??,Order Related,good job,5
Happy ,Returns,happy,10
  happy costumer support ,Cancellation,happy costumer support,1
U cal display ur customers support number4 help any customers problem But no display customers care number,Order Related,u cal display ur customers support number4 help any customers problem but no display customers care number,5
After delivery of the product take responsibility of the items.,Returns,after delivery of the product take responsibility of the items,10
Interaction was awesome but policy is very bad can't unblock my account pay later,Shopzilla Related,interaction was awesome but policy is very bad cant unblock my account pay later,11
Reduce time,Shopzilla Related,reduce time,11
Kindly resolve all of your server related issues to help with real time data.,Product Queries,kindly resolve all of your server related issues to help with real time data,8
Very good,Returns,very good,10
Make it easy to reach to executive ,Order Related,make it easy to reach to executive,5
Excellent service ??,Order Related,excellent service,5
poor customer service,Returns,poor customer service,10
Happy,Order Related,happy,5
Very good working ,Order Related,very good working,5
Make calling more accessible and easily approachable,Returns,make calling more accessible and easily approachable,10
Everything is ok ??,Returns,everything is ok,10
peoblem not solve,Payments related,peoblem not solve,7
Over all very good ,Order Related,over all very good,5
Very good ,Returns,very good,10
Very good nice bro ,Order Related,very good nice bro,5
Good support  ,Refund Related,good support,9
Good ,Shopzilla Related,good,11
Bist gadnig ,Onboarding related,bist gadnig,4
Shopzilla team very good team ,Returns,shopzilla team very good team,10
Good ,Order Related,good,5
Failure is the only word for Shopzilla ,Order Related,failure is the only word for shopzilla,5
Very slow and lots of doubts the representative had. Many things on grocery doesn't get returned and only refund is available she said.,Returns,very slow and lots of doubts the representative had many things on grocery doesnt get returned and only refund is available she said,10
Process gap in Executive,Returns,process gap in executive,10
Make sure correct orders get delivered ,Returns,make sure correct orders get delivered,10
Thanks ,Returns,thanks,10
Not at all happy with Shopzilla worst experience till date.   your customer representative said that phone exchange cannot be done due logistics issue and reason is not mentioned. If problem is from Shopzilla end then why end consumer has to bear consequences. Need to improve customer service and transparency in policies,Returns,not at all happy with shopzilla worst experience till date your customer representative said that phone exchange cannot be done due logistics issue and reason is not mentioned if problem is from shopzilla end then why end consumer has to bear consequences need to improve customer service and transparency in policies,10
You may need to have frequent conversations with the new startups which are selling products on your platform. You may need to have track on their support / service related issues. ,Returns,you may need to have frequent conversations with the new startups which are selling products on your platform you may need to have track on their support service related issues,10
Refund policy,Order Related,refund policy,5
"It will be good, if the customer support had a first hand information and provide to the customer immediately.",Order Related,it will be good if the customer support had a first hand information and provide to the customer immediately,5
"The voice connectivity was extremely poor with a lot of echo, automatic repeat of words, digital disturbance noises & jitters.",Payments related,the voice connectivity was extremely poor with a lot of echo automatic repeat of words digital disturbance noises jitters,7
Very poor ,Order Related,very poor,5
The executive was very polite and addressed all my concerns made sure to check-in and see if everything was resolved. It wasgood service. Thank you.,Returns,the executive was very polite and addressed all my concerns made sure to checkin and see if everything was resolved it wasgood service thank you,10
Outstanding ??,Returns,outstanding,10
Thank you for understanding my problem and give the solution on the same time?,Returns,thank you for understanding my problem and give the solution on the same time,10
"Very helpful agent , the Team Managers should get more agent like her ",Order Related,very helpful agent the team managers should get more agent like her,5
While any issue we need to contact customer service it's be busy ..pls be in app itself to ....it's be very easy and comfortable ,Returns,while any issue we need to contact customer service its be busy pls be in app itself to its be very easy and comfortable,10
wrong product delivered.  i am scared to make further orders on Shopzilla.,Order Related,wrong product delivered i am scared to make further orders on shopzilla,5
Well ? done,Product Queries,well done,8
Nice,Returns,nice,10
For all excutive Customer support always ready.,Returns,for all excutive customer support always ready,10
Not supportive customer care,Returns,not supportive customer care,10
Your return policy is very bad scant shopping by Shopzilla in future,Returns,your return policy is very bad scant shopping by shopzilla in future,10
very helpful ,Order Related,very helpful,5
Tv farzi sab  ,Returns,tv farzi sab,10
Thank you ,Returns,thank you,10
Very good ,Order Related,very good,5
Nice,Order Related,nice,5
No,Order Related,no,5
Thank you,Shopzilla Related,thank you,11
Our return request are getting auto canceled three times.  Please avoid this refund the amount.,Returns,our return request are getting auto canceled three times please avoid this refund the amount,10
Im happy with customer service...thanks,Product Queries,im happy with customer servicethanks,8
Best experience provided by Shopzilla customer service ,Returns,best experience provided by shopzilla customer service,10
"It was difficult to hear the staff , either the microphone was not efficiently working or there was a network issue .",Returns,it was difficult to hear the staff either the microphone was not efficiently working or there was a network issue,10
Osm call support ,Product Queries,osm call support,8
"Before delivery check all products properly.do not delivered wrong item ,like defective, broken, Because I have ordered allmost 50 order but few orders delivered properly.others defective or after using sometime they not working properly.",Order Related,before delivery check all products properlydo not delivered wrong item like defective broken because i have ordered allmost 50 order but few orders delivered properlyothers defective or after using sometime they not working properly,5
Good job,Refund Related,good job,9
I talk to Shopzilla staff before some time but they are very rude but when I talk this time to Shopzilla staff and she is very sweet and understanding and i love her nature thanku for being very kind and sweet.,Returns,i talk to shopzilla staff before some time but they are very rude but when i talk this time to shopzilla staff and she is very sweet and understanding and i love her nature thanku for being very kind and sweet,10
Query not solved,Returns,query not solved,10
A customer should be able to change his/her registered mobile number even when the old number is lost.,Returns,a customer should be able to change hisher registered mobile number even when the old number is lost,10
Every time they make fool of us,Returns,every time they make fool of us,10
Thank you Miss   for resolving my issue. ,Returns,thank you miss for resolving my issue,10
He is really nice and solved my problem very nicely .. thank you so much ,Shopzilla Related,he is really nice and solved my problem very nicely thank you so much,11
Sheenesh handling my problem well if I can say something this is it,Returns,sheenesh handling my problem well if i can say something this is it,10
Good working Shopzilla team,Order Related,good working shopzilla team,5
"Return request was done by me but your delivery partner was not picked up the order, and my request of return was automatically cancelled by Shopzilla. Is not good thing for customer like me and other one. Please make sure that type of issues are not occur again and again.",Returns,return request was done by me but your delivery partner was not picked up the order and my request of return was automatically cancelled by shopzilla is not good thing for customer like me and other one please make sure that type of issues are not occur again and again,10
"I haven't received the Product, still the delivery boy has shown delivered. See now the communication gap and the status updated.",Order Related,i havent received the product still the delivery boy has shown delivered see now the communication gap and the status updated,5
Ghatiya log h Shopzilla vale,Order Related,ghatiya log h shopzilla vale,5
Don't trying to make fulis peppers,Returns,dont trying to make fulis peppers,10
"Those who are creating issues, those taking complain and those who are working on complain are completely from different teams and they don't have any sync or level of customer dissatisfaction from customer, however they all are working but not with a goal. This creates frustration in customer, who slowly loose faith with the company.",Order Related,those who are creating issues those taking complain and those who are working on complain are completely from different teams and they dont have any sync or level of customer dissatisfaction from customer however they all are working but not with a goal this creates frustration in customer who slowly loose faith with the company,5
"When someone write \"" need a call \"" then your system should respond immediately.",Returns,when someone write need a call then your system should respond immediately,10
"Thanks,it took 4 hrs to reach customer care..",Order Related,thanksit took 4 hrs to reach customer care,5
Excellent ,Returns,excellent,10
Good,Order Related,good,5
Good ,Returns,good,10
Very very very good ,Refund Related,very very very good,9
Nice,Returns,nice,10
"Items missing is a very Bad Taste for the customer who is in need of the material.  Pls work to avoid such issues,  spoiling the reputation of the brand",Order Related,items missing is a very bad taste for the customer who is in need of the material pls work to avoid such issues spoiling the reputation of the brand,5
Customer support executive is very kind hearted ,Shopzilla Related,customer support executive is very kind hearted,11
Good help ,Product Queries,good help,8
"Shopzilla your costumer support very bad,,,,,they not capable to resolve my concern,,,,,, please improve your service,,,,and don't fool to people.........I ordered some products on 27 July 2023 ,,,,,but after 4-5 days Shopzilla sent me a message,,,your order cancelled,,,,,,,why Shopzilla sales like this I irritating so much,,,,,,after that I uninstalled Shopzilla app,,,,and shift to SuperBuy ,,,,,",Order Related,shopzilla your costumer support very badthey not capable to resolve my concern please improve your serviceand dont fool to peoplei ordered some products on 27 july 2023 but after 45 days shopzilla sent me a messageyour order cancelledwhy shopzilla sales like this i irritating so muchafter that i uninstalled shopzilla appand shift to superbuy,5
Ok,Returns,ok,10
very good,Returns,very good,10
My money was deducted and the order is not yet confirmed,Product Queries,my money was deducted and the order is not yet confirmed,8
Thanku for supporting ,Order Related,thanku for supporting,5
Doesn't deliver product on time,Order Related,doesnt deliver product on time,5
All good ,Order Related,all good,5
Very helpful support thanku Shopzilla,Returns,very helpful support thanku shopzilla,10
one item fortune mustered oill missing ... refund asap..,Returns,one item fortune mustered oill missing refund asap,10
Don't sell company defective items.,Returns,dont sell company defective items,10
The customer service is very good ,Returns,the customer service is very good,10
Bad service  customer relative not problem resolve,Order Related,bad service customer relative not problem resolve,5
Wen u assign a deliver partner for return make sure that the wishmaster agents shud du their responsibility...not instead of saying I m not capable of taking this item I can't take this return.....even ur app has flaws u shud specify tu an agent wat product he has tu tke frm custo.er cmng on door and seeing the product he says this is the trolley part I m hvng two wheeler...so u shud call customer care wat is this,Returns,wen u assign a deliver partner for return make sure that the wishmaster agents shud du their responsibilitynot instead of saying i m not capable of taking this item i cant take this returneven ur app has flaws u shud specify tu an agent wat product he has tu tke frm custoer cmng on door and seeing the product he says this is the trolley part i m hvng two wheelerso u shud call customer care wat is this,10
Excellent,Order Related,excellent,5
Very nice person ,Payments related,very nice person,7
"Sellers with No return policy, are sending Incorrect products, incorrect size, poor quality products to customers. Please have a strict rule and sort out them and take action. ",Returns,sellers with no return policy are sending incorrect products incorrect size poor quality products to customers please have a strict rule and sort out them and take action,10
Thanks ,Product Queries,thanks,8
Very food,Returns,very food,10
Nice help sir,Returns,nice help sir,10
Mivi policy is not transparent for customer,Product Queries,mivi policy is not transparent for customer,8
Very good ,Returns,very good,10
Muzammil46 ,Returns,muzammil46,10
Very bad,Order Related,very bad,5
Good,Returns,good,10
Return policy refurbished need ,Returns,return policy refurbished need,10
This is good woman manjileka,Returns,this is good woman manjileka,10
Great services ,Order Related,great services,5
Very good service ,Returns,very good service,10
So sweet ,Order Related,so sweet,5
Too Good. Thanks ,Order Related,too good thanks,5
Thank you Shopzilla and thank you Shopzilla customer support ,Returns,thank you shopzilla and thank you shopzilla customer support,10
Bad service ,Order Related,bad service,5
Good communication skills ,Refund Related,good communication skills,9
Good ,Order Related,good,5
Not sastify with service and answers ,Returns,not sastify with service and answers,10
Thanku Maim,Order Related,thanku maim,5
No,Returns,no,10
I am happy ,Returns,i am happy,10
Thanks ,Product Queries,thanks,8
Super ,Order Related,super,5
Samal kushwaha ,Order Related,samal kushwaha,5
Good communication ,Returns,good communication,10
"Try to sell authorized products, as duplicate product had seller from your platform",Order Related,try to sell authorized products as duplicate product had seller from your platform,5
  ache   krke,Returns,ache krke,10
Good,Returns,good,10
Good ,Cancellation,good,1
Good behavior ,Refund Related,good behavior,9
I'm not good ,Returns,im not good,10
"I like to talk with this guy , she was very humbleThankyou so much I appreciate ????",Returns,i like to talk with this guy she was very humblethankyou so much i appreciate,10
Nice person ,Returns,nice person,10
Issue still continue,Order Related,issue still continue,5
Cancel order,Product Queries,cancel order,8
Thankyou! ,Shopzilla Related,thankyou,11
Very nice and very good cosumer support ,Offers & Cashback,very nice and very good cosumer support,3
"Please, do not do work with bad sellers, who send wrong items and fake products",Returns,please do not do work with bad sellers who send wrong items and fake products,10
It treated me very badly.  Why canceled the order after taking my order.  It is very bad practice towards the customer.  This is very bad usage.  I am not taking anything else here..,Order Related,it treated me very badly why canceled the order after taking my order it is very bad practice towards the customer this is very bad usage i am not taking anything else here,5
My all doubts solved thak you sir,Product Queries,my all doubts solved thak you sir,8
Good best but my amount is not credited my account ,Order Related,good best but my amount is not credited my account,5
I love his voice so preety please upgrade his post into manager in Shopzilla this person is very helpful thanks brother ????????,Product Queries,i love his voice so preety please upgrade his post into manager in shopzilla this person is very helpful thanks brother,8
The most inefficient resolution mechanism ,Returns,the most inefficient resolution mechanism,10
Thanks Team!,Returns,thanks team,10
Very nice   ?? ,Returns,very nice,10
Osm,Feedback,osm,2
very good person ,Returns,very good person,10
Very good service ,Returns,very good service,10
Good,Payments related,good,7
"Need exchange option again as I clicked \""Reject\"" by mistake during exchange confirmation.",Returns,need exchange option again as i clicked reject by mistake during exchange confirmation,10
Issues resolution fast,Returns,issues resolution fast,10
Costumers support team is very good ,Order Related,costumers support team is very good,5
"Very wrost service nobody resolvoed without deliverying product delivery agent updating as product delivered it's absolutely wrong data leakaging without asking pin he has updated like this, what it shows? Till date am unable to connect with him also",Feedback,very wrost service nobody resolvoed without deliverying product delivery agent updating as product delivered its absolutely wrong data leakaging without asking pin he has updated like this what it shows till date am unable to connect with him also,2
Fraud company Shopzilla company ,Order Related,fraud company shopzilla company,5
Tq ,Returns,tq,10
Amazing customers support but poor proceedings ,Returns,amazing customers support but poor proceedings,10
He was very good in communication and all and i expect to solve my asap thank you,Refund Related,he was very good in communication and all and i expect to solve my asap thank you,9
Executive was good and professional resolved my query but he was unable to address my doubt about FK services.but overall good ??,Product Queries,executive was good and professional resolved my query but he was unable to address my doubt about fk servicesbut overall good,8
Very good ,Payments related,very good,7
"Ordered on 27th with expected delivery on 29th. Put for delivery on 30th, no call, gets undeliveredDelivery agent confirms address on 31st but doesn't pick up call, marks undeliveredOn 1st, gets undelivered without a callOn the 2nd gets cancelledYour so called senior support agent   is absolutely horrible and even ridiculed by pronuncing my name at the end. This rating is for him and your service with it.Not only is your service pathetic, but so are your agents.Terrible service and experience I've had",Order Related,ordered on 27th with expected delivery on 29th put for delivery on 30th no call gets undelivereddelivery agent confirms address on 31st but doesnt pick up call marks undeliveredon 1st gets undelivered without a callon the 2nd gets cancelledyour so called senior support agent is absolutely horrible and even ridiculed by pronuncing my name at the end this rating is for him and your service with itnot only is your service pathetic but so are your agentsterrible service and experience ive had,5
satisfied from the conversation with Miss   regarding my issue...Thanks,Order Related,satisfied from the conversation with miss regarding my issuethanks,5
Aplog apan system may sudhar laya nahyto bohat jald apna dukan band   ,Returns,aplog apan system may sudhar laya nahyto bohat jald apna dukan band,10
Bad service ,Order Related,bad service,5
Ok,Cancellation,ok,1
Good,Returns,good,10
Good experience with Shopzilla ,Returns,good experience with shopzilla,10
?????? ??????? ??? ???? ????,Returns,,10
Thanks Shopzilla ,Order Related,thanks shopzilla,5
Mera parcel cancel kar diya ,Order Related,mera parcel cancel kar diya,5
I am happy with customer service,Returns,i am happy with customer service,10
Very good mam,Returns,very good mam,10
Good,Order Related,good,5
Give option for faster delivery ,Cancellation,give option for faster delivery,1
Very good voice ,Payments related,very good voice,7
Shopzilla fraud h Customer ko gumrah   h,Order Related,shopzilla fraud h customer ko gumrah h,5
"I didn't received the the product one out of two. Very frustrated .Please understand that my frustration is not directed at you personally, but rather at the lack of attention and assistance from your customer service representatives. I believe that a reputable company like yours should prioritize its customers and work towards resolving issues promptly and effectively.I sincerely hope that you will consider my situation with utmost urgency and help restore my faith in your company's commitment to customer satisfaction. I expect a timely response to this email and a tangible resolution to my problem.Thank you for your attention to this matter.",Returns,i didnt received the the product one out of two very frustrated please understand that my frustration is not directed at you personally but rather at the lack of attention and assistance from your customer service representatives i believe that a reputable company like yours should prioritize its customers and work towards resolving issues promptly and effectivelyi sincerely hope that you will consider my situation with utmost urgency and help restore my faith in your companys commitment to customer satisfaction i expect a timely response to this email and a tangible resolution to my problemthank you for your attention to this matter,10
Recently I talk to the customer support service your behaviour of your employee was soo polite and mannerful hats of to you man thanks for solving my problem stay blessed ??,Cancellation,recently i talk to the customer support service your behaviour of your employee was soo polite and mannerful hats of to you man thanks for solving my problem stay blessed,1
Vary good,Returns,vary good,10
Try to fix delivery hours as it is uncertain that when delivery person will arrive in whole day. Sometimes they arrive in busy hours and it becomes difficut to receive the order. So recepient should be informed about the approximate delivery time.,Returns,try to fix delivery hours as it is uncertain that when delivery person will arrive in whole day sometimes they arrive in busy hours and it becomes difficut to receive the order so recepient should be informed about the approximate delivery time,10
I don't like chat bot ,Returns,i dont like chat bot,10
Plz refund immediately ,Refund Related,plz refund immediately,9
Nothing ,Returns,nothing,10
I look some scarcity of clarity in coustomer problem solutions. it has take much time. Please make it more easy for customers. So it make helpful for customers.Thankyou ,Returns,i look some scarcity of clarity in coustomer problem solutions it has take much time please make it more easy for customers so it make helpful for customersthankyou,10
Thank you sir ,Returns,thank you sir,10
Front end support executives don't know what to do when we ask for solution ,Returns,front end support executives dont know what to do when we ask for solution,10
Mujhe baat kerke achAa lga ,Order Related,mujhe baat kerke achaa lga,5
No,Shopzilla Related,no,11
Good ,Product Queries,good,8
Good ,Returns,good,10
Thank you   ji,Shopzilla Related,thank you ji,11
Nice service ,Returns,nice service,10
Shopzilla is very very....poor service provider ??,Order Related,shopzilla is very verypoor service provider,5
Nice customer service,Returns,nice customer service,10
This is disgusting....worst....not solve my problem....and customer support executive talk in unmanned way.....,Order Related,this is disgustingworstnot solve my problemand customer support executive talk in unmanned way,5
Thank you,Cancellation,thank you,1
Good Interaction with executive,Returns,good interaction with executive,10
Thanku ,Returns,thanku,10
Good ,Returns,good,10
Everything ok,Cancellation,everything ok,1
Product cancelled without any information and got feed that u have rehected the delivery ,Order Related,product cancelled without any information and got feed that u have rehected the delivery,5
Shopping made easyThanks Shopzilla ,Product Queries,shopping made easythanks shopzilla,8
When I order they show me delivery after 2 days and once I made full payment in advance they show me delivery after 4/5 days and today when I receive my order that delivery agent is not received call totally useless services I'll never order again from Shopzilla ,Order Related,when i order they show me delivery after 2 days and once i made full payment in advance they show me delivery after 45 days and today when i receive my order that delivery agent is not received call totally useless services ill never order again from shopzilla,5
Sir I have ordered two libas kurtas and wrong product send by seller in both the parcels . As per my complaint Only one parcel is showing for refund and I want my total money of two parcels .,Returns,sir i have ordered two libas kurtas and wrong product send by seller in both the parcels as per my complaint only one parcel is showing for refund and i want my total money of two parcels,10
Thanks you Shopzilla ,Returns,thanks you shopzilla,10
Nice ,Order Related,nice,5
Thank you Mam,Returns,thank you mam,10
Good ,Shopzilla Related,good,11
Please make a product tracking system with contact number of every handover consultant's ,Order Related,please make a product tracking system with contact number of every handover consultants,5
Kafi achha se mujhe jankari deya.or jadon hi team mere problem per work   Diya.,Returns,kafi achha se mujhe jankari deyaor jadon hi team mere problem per work diya,10
Delivery boy was very rude behavior ,Product Queries,delivery boy was very rude behavior,8
Good experience ,Order Related,good experience,5
Good service ,Shopzilla Related,good service,11
Good experience with Shopzilla ,Returns,good experience with shopzilla,10
Thanks,Order Related,thanks,5
Customer executive was polite and skillful but I'm really not very disappointed with Shopzilla sellers and their post delivery service.,Shopzilla Related,customer executive was polite and skillful but im really not very disappointed with shopzilla sellers and their post delivery service,11
not okay with the product ,Returns,not okay with the product,10
Maintain product quality ,Returns,maintain product quality,10
Product must be trustful and worthy.,Order Related,product must be trustful and worthy,5
Issue not solved ,Order Related,issue not solved,5
Very very nice guy .,Returns,very very nice guy,10
Good Taking Good behaviour,Order Related,good taking good behaviour,5
Best app Shopzilla ,Order Related,best app shopzilla,5
Very good jobs ??,Order Related,very good jobs,5
Please resolve my issue ,Returns,please resolve my issue,10
Fast action pls ,Order Related,fast action pls,5
Don't allow directly to cancel the order,Returns,dont allow directly to cancel the order,10
Good listener and polite behaviour,Returns,good listener and polite behaviour,10
Refund related policy ,Product Queries,refund related policy,8
NYC and good man talking bout me ?,Returns,nyc and good man talking bout me,10
good knowledge ,Returns,good knowledge,10
Thanks,Order Related,thanks,5
Call disconnected ,Shopzilla Related,call disconnected,11
Thank you,Shopzilla Related,thank you,11
It was good ,Order Related,it was good,5
It was awasome ,Returns,it was awasome,10
everyone make fool from Shopzilla ,Returns,everyone make fool from shopzilla,10
My issue has been going on for 48 hours now still unresolved ,Returns,my issue has been going on for 48 hours now still unresolved,10
Close the online grocery store if you have restrictions on buyings ,Product Queries,close the online grocery store if you have restrictions on buyings,8
  good ,Order Related,good,5
Excellent performance ,Returns,excellent performance,10
"Nice to talk with you Miss  , After some Lil long conversation make me smile on my face with your resolution.Thank you. ",Returns,nice to talk with you miss after some lil long conversation make me smile on my face with your resolutionthank you,10
Solve this issue as soon as possible ,Returns,solve this issue as soon as possible,10
Not solved my issue ,Returns,not solved my issue,10
Good behaviour costomer care ,Shopzilla Related,good behaviour costomer care,11
Fine,Order Related,fine,5
Very nice ?? service ,Order Related,very nice service,5
My problem is solve thank you costumer service,Order Related,my problem is solve thank you costumer service,5
Issue refund immediately ,Returns,issue refund immediately,10
Good,Returns,good,10
Very thanks to you ,Returns,very thanks to you,10
Return policy is very slow and bad,Returns,return policy is very slow and bad,10
Very helpful call thanku team,Returns,very helpful call thanku team,10
Thks uuu,Returns,thks uuu,10
Super everything ,Returns,super everything,10
Very good experience with this... She is very kindly talk with me thank you   ??,Offers & Cashback,very good experience with this she is very kindly talk with me thank you,3
Give proper answer for the specific enquiry customer have. Instead of generic Answer.,Order Related,give proper answer for the specific enquiry customer have instead of generic answer,5
No any solution and no replace my boat airbuds 161Very bad service boat and Shopzilla ,Returns,no any solution and no replace my boat airbuds 161very bad service boat and shopzilla,10
